date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
4/20/19 20:23,MayorJenny,,0,1,7,"Remembering & honoring the late, incredible DeCharlene Williams as we celebrate the grand reopening of DeCharlene’s Beauty Salon in the Central District. Wonderful to see her daughter Rita Green, granddaughter Channel, Kibibi Monié, artist Lawrence Pitre, barber Devon & team!",,,,1.12E+18,https://twitter.com/MayorJenny/status/1119698115445968896
4/20/19 18:23,MayorJenny,WaGunResponsib,4,2,7,"We will keep standing together, honoring those lost, and standing up for action. Working together, we can keep making our communities safer.",,,,1.12E+18,https://twitter.com/MayorJenny/status/1119667800178479104
4/20/19 18:17,MayorJenny,,4,7,27,"20 years after the #Columbine tragedy, we remember &amp; recommit to action that saves lives. Thank you @WACeaseFire, Grandmothers Against Gun Violence, @WaGunResponsib, @bradybuzz, @GiffordsCourage, @MFOLseattle, @MomsDemand &amp; so many others for helping make our communities safer.",,@WACeaseFire @WaGunResponsib @bradybuzz @GiffordsCourage @MFOLseattle @MomsDemand,#Columbine,1.12E+18,https://twitter.com/MayorJenny/status/1119666352443146240
4/20/19 02:01,MayorJenny,,1,2,12,"To all those celebrating tonight, I wish you and your family a joyous and peaceful start to Passover.",,,,1.12E+18,https://twitter.com/MayorJenny/status/1119420800593907712
4/19/19 23:50,MayorJenny,seattlestorm,1,7,98,"We're with you, Coach! Hang in there, and stay strong. We're thinking about you.",,,,1.12E+18,https://twitter.com/MayorJenny/status/1119387871595515904
4/19/19 19:28,MayorJenny,,67,6,58,"In the face of chaos and cruelty from this president, mayors of welcoming cities across our country join me in demanding @realDonaldTrump stop his baseless attacks on our immigrant refugee communities &amp; fix our broken immigration system now. Read more: https://durkan.seattle.gov/wp-content/uploads/2019/04/Mayors-to-Trump-4.14.19.pdf",,@realDonaldTrump,,1.12E+18,https://twitter.com/MayorJenny/status/1119321980807761920
4/19/19 17:04,MayorJenny,,5,1,12,Thank you to @CityYearSeattle and @AmeriCorps for the honorary red jacket at Ripples of Hope Gala last night. We know that education is the keystone of opportunity - that's why in Seattle we invested in high-quality early learning and free college for Seattle public HS graduates.,,@CityYearSeattle @AmeriCorps,,1.12E+18,https://twitter.com/MayorJenny/status/1119285662094487557
4/18/19 23:48,MayorJenny,seattledot,9,4,6,"As we tackle a new era of tough traffic during the #SeattleSqueeze, we're working with partners across the public and private sector to help keep transit, people, and goods moving.",,,#SeattleSqueeze,1.12E+18,https://twitter.com/MayorJenny/status/1119025033383301120
4/18/19 22:51,MayorJenny,Mariners,2,1,11,"This month, we lost some fixtures of our community. It's a reminder to take time to recognize those who are still making a difference. Former Gov. and Sen. Dan Evans has done so much for Seattle, our state, & our environment - and he can still throw a pitch right down the middle!",,,,1.12E+18,https://twitter.com/MayorJenny/status/1119010497762709504
4/18/19 16:56,MayorJenny,,0,3,7,"She was a mentor and role model, a force to be reckoned with, and a remarkable person. She had a lasting impact on so many. She truly helped shape our region and she will be missed. https://www.seattletimes.com/seattle-news/obituaries/margarita-prentice-first-latina-elected-to-the-legislature-dies-at-88/",,,,1.12E+18,https://twitter.com/MayorJenny/status/1118921261017489409
